craft,cluster,band_low_inr,band_high_inr,gi_premium
saree,varanasi,2500,12000,0.10
brass,moradabad,800,4500,0.05
handloom,varanasi,3000,16000,0.12
handloom,chanderi,1200,6000,0.10
handloom,kashmir,5000,28000,0.15
handloom,pochampally,1800,8500,0.10
handloom,kutch,1000,4500,0.08
metalcraft,moradabad,1200,6000,0.08
metalcraft,bastar,1200,7500,0.10
metalcraft,sarthebari,2500,9000,0.08
metalcraft,bidar,2000,8500,0.12
metalcraft,swamimalai,4500,20000,0.15
pottery,khurja,500,3200,0.08
pottery,jaipur,800,4000,0.12
pottery,longpi,900,4500,0.10
pottery,gorakhpur,400,2500,0.08
pottery,nizamabad,700,3500,0.10
woodcraft,saharanpur,1000,5500,0.08
woodcraft,channapatna,500,2800,0.10
woodcraft,kashmir,3000,15000,0.12
woodcraft,kondapalli,700,3600,0.08
woodcraft,sankheda,3500,18000,0.10
leathercraft,kolhapur,1000,4000,0.15
leathercraft,jodhpur,900,3800,0.08
leathercraft,shantiniketan,1200,5000,0.10
leathercraft,bikaner,600,2500,0.05
leathercraft,kanpur,2500,10500,0.05
stonecraft,agra,1800,9500,0.12
stonecraft,puri,1000,5500,0.10
jewelry,jaipur,3500,18000,0.12
jewelry,cuttack,1500,7000,0.15
jewelry,varanasi,1400,6500,0.12
