craft,material,typical_cost_inr
saree,silk,1200
brass,brass,400
handloom,silk,2800
handloom,cotton,600
handloom,cashmere,4000
metalcraft,brass,1200
metalcraft,bronze,900
metalcraft,kansa,1800
metalcraft,silver,1500
pottery,clay,250
pottery,ceramic,400
pottery,quartz,500
pottery,stone,550
woodcraft,sheesham,700
woodcraft,wood,400
woodcraft,walnut,2000
woodcraft,teak,2500
leathercraft,leather,850
leathercraft,velvet,750
leathercraft,camel_leather,500
stonecraft,marble,1500
stonecraft,soapstone,700
jewelry,kundan,3000
jewelry,silver,1200
