cluster,craft,wage_inr_per_hour
varanasi,saree,85
moradabad,brass,95
varanasi,handloom,85
chanderi,handloom,85
kashmir,handloom,110
pochampally,handloom,85
kutch,handloom,85
bastar,metalcraft,90
sarthebari,metalcraft,95
bidar,metalcraft,95
swamimalai,metalcraft,110
khurja,pottery,80
jaipur,pottery,90
longpi,pottery,85
gorakhpur,pottery,80
nizamabad,pottery,80
saharanpur,woodcraft,95
channapatna,woodcraft,85
kashmir,woodcraft,110
kondapalli,woodcraft,85
sankheda,woodcraft,90
kolhapur,leathercraft,90
jodhpur,leathercraft,85
shantiniketan,leathercraft,85
bikaner,leathercraft,85
kanpur,leathercraft,95
agra,stonecraft,100
jaipur,jewelry,100
cuttack,jewelry,95
puri,stonecraft,95
varanasi,jewelry,90
